LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,3.6,
AUS,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,3.4,
AUS,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,3.2,
AUS,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,3.1,
AUT,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,3.1,
AUT,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,3,
AUT,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,3.1,
AUT,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,3.1,
BEL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,3.5,
BEL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,3.4,
BEL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,3.3,
BEL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,3.2,
CAN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,5,
CAN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,4.7,
CZE,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,2.5,
CZE,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,2.4,
CZE,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,2.5,
CZE,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,2.8,
DNK,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,3.5,
DNK,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,4,
DNK,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,3.7,
DNK,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,3.1,
FIN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,1.8,
FIN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,2.2,
FIN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,1.7,
FIN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,1.9,
FRA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,3.6,
FRA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,3.5,
FRA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,3.7,
FRA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,3.7,
DEU,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,3.3,
DEU,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,3.2,
DEU,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,3.3,
DEU,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,3.4,
GRC,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,3.7,
GRC,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,3.7,
GRC,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,4,
GRC,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,4.2,
HUN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,5,
HUN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,4.5,
HUN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,4.2,
HUN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,3.9,
ISL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,1.8,
ISL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,2.1,
ISL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,2.2,
ISL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,0.7,
IRL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,3.6,
IRL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,3.3,
IRL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,3.4,
IRL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,3,
ITA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,2.9,
ITA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,2.8,
ITA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,2.9,
ITA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,2.8,
JPN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,2.1,
JPN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,2.1,
JPN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,1.9,
JPN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,2,
KOR,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,3,
KOR,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,3,
KOR,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,2.7,
KOR,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,2.8,
LUX,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,3.9,
LUX,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,2.8,
LUX,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,2.8,
LUX,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,3.8,
MEX,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,13,
MEX,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,12.5,
MEX,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,12.5,
MEX,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,12.1,
NLD,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,3.8,
NLD,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,3.6,
NLD,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,3.3,
NLD,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,3.5,
NZL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,5,
NZL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,5.7,
NOR,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,2.4,
NOR,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,2.4,
NOR,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,2.3,
NOR,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,2.2,
POL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,4.6,
POL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,4.2,
POL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,4,
POL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,4,
PRT,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,2.9,
PRT,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,2.9,
PRT,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,2.9,
PRT,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,3.2,
SVK,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,5.5,
SVK,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,5.8,
SVK,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,5.1,
SVK,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,5.4,
ESP,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,2.7,
ESP,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,2.8,
ESP,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,2.7,
ESP,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,2.7,
SWE,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,2.7,
SWE,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,2.2,
SWE,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,2.5,
SWE,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,2.5,
CHE,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,3.9,
CHE,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,3.9,
CHE,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,3.9,
CHE,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,3.6,
TUR,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,10.8,
TUR,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,11.1,
TUR,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,10.2,
TUR,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,10,
GBR,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,3.9,
GBR,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,3.9,
GBR,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,3.9,
GBR,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,3.8,
USA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,6,
USA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,5.8,
USA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,5.9,
BRA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,14.3,
BRA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,14.4,
BRA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,14.6,
CHL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,7,
CHL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,7.2,
CHL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,6.9,
CHN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,10.6,
CHN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,9.8,
CHN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,9.2,
EST,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,2.1,
EST,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,2.7,
EST,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,2.5,
EST,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,2.3,
IND,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,40.9,
IND,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,39.3,
IND,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,37.9,
IDN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,24.4,
IDN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,23.6,
IDN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,22.8,
ISR,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,3.1,
ISR,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,3.1,
ISR,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,3.1,
ISR,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,3.1,
RUS,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,8.2,
RUS,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,7.4,B
RUS,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,6.5,
RUS,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,6,
SVN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,2.9,
SVN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,1.8,
SVN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,1.6,
SVN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,2,
ZAF,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,35.3,
ZAF,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,34.4,
ZAF,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,33.6,
COL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,17.2,
COL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,17.2,
COL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,17.1,
LVA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,4.4,
LVA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,3.8,
LVA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,4.1,
LVA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,3.7,
LTU,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,3.7,
LTU,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,3.9,
LTU,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,4.2,
LTU,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,4.5,
CRI,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2013,8.7,
CRI,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2014,8.6,
CRI,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,8.5,
