LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,HEALTHEXP,OOPEXP,USD_CAP,A,2013,824.1,D
AUS,HEALTHEXP,OOPEXP,USD_CAP,A,2014,841.082,D
AUS,HEALTHEXP,OOPEXP,USD_CAP,A,2015,838.517,D
BEL,HEALTHEXP,OOPEXP,USD_CAP,A,2013,782.6,
BEL,HEALTHEXP,OOPEXP,USD_CAP,A,2014,790.86,
BEL,HEALTHEXP,OOPEXP,USD_CAP,A,2015,755.321,
BEL,HEALTHEXP,OOPEXP,USD_CAP,A,2016,738.948,
CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2013,647.063,
CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2014,659.527,
CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2015,670.16,
CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2016,690.169,P
CAN,HEALTHEXP,OOPEXP,USD_CAP,A,2017,712.142,P
CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2013,323.333,B
CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2014,347.704,
CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2015,359.449,
CZE,HEALTHEXP,OOPEXP,USD_CAP,A,2016,372.845,
DNK,HEALTHEXP,OOPEXP,USD_CAP,A,2013,656.245,
DNK,HEALTHEXP,OOPEXP,USD_CAP,A,2014,671.164,
DNK,HEALTHEXP,OOPEXP,USD_CAP,A,2015,683.843,
DNK,HEALTHEXP,OOPEXP,USD_CAP,A,2016,695.837,
FIN,HEALTHEXP,OOPEXP,USD_CAP,A,2013,743.042,
FIN,HEALTHEXP,OOPEXP,USD_CAP,A,2014,744.978,
FIN,HEALTHEXP,OOPEXP,USD_CAP,A,2015,808.812,B
FIN,HEALTHEXP,OOPEXP,USD_CAP,A,2016,874.51,
FRA,HEALTHEXP,OOPEXP,USD_CAP,A,2013,451.971,
FRA,HEALTHEXP,OOPEXP,USD_CAP,A,2014,460.817,
FRA,HEALTHEXP,OOPEXP,USD_CAP,A,2015,454.538,
FRA,HEALTHEXP,OOPEXP,USD_CAP,A,2016,465.669,
DEU,HEALTHEXP,OOPEXP,USD_CAP,A,2013,644.096,
DEU,HEALTHEXP,OOPEXP,USD_CAP,A,2014,650.565,
DEU,HEALTHEXP,OOPEXP,USD_CAP,A,2015,672.272,
DEU,HEALTHEXP,OOPEXP,USD_CAP,A,2016,676.553,
DEU,HEALTHEXP,OOPEXP,USD_CAP,A,2017,689.988,P
GRC,HEALTHEXP,OOPEXP,USD_CAP,A,2013,739.82,
GRC,HEALTHEXP,OOPEXP,USD_CAP,A,2014,781.597,
GRC,HEALTHEXP,OOPEXP,USD_CAP,A,2015,791.039,
GRC,HEALTHEXP,OOPEXP,USD_CAP,A,2016,777.125,
HUN,HEALTHEXP,OOPEXP,USD_CAP,A,2013,503.653,
