LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,EDUADULT,TRY,PC_25_64,A,2013,39.539928,
AUS,EDUADULT,TRY,PC_25_64,A,2014,41.901855,
AUS,EDUADULT,TRY,PC_25_64,A,2015,42.888756,
AUS,EDUADULT,TRY,PC_25_64,A,2016,43.7439,
AUS,EDUADULT,TRY,PC_25_64,A,2017,45.355675,
AUT,EDUADULT,TRY,PC_25_64,A,2013,29.738844,
AUT,EDUADULT,TRY,PC_25_64,A,2014,29.904896,
AUT,EDUADULT,TRY,PC_25_64,A,2015,30.550726,
AUT,EDUADULT,TRY,PC_25_64,A,2016,31.383963,
AUT,EDUADULT,TRY,PC_25_64,A,2017,32.39439,
BEL,EDUADULT,TRY,PC_25_64,A,2013,35.535332,
BEL,EDUADULT,TRY,PC_25_64,A,2014,36.855022,
BEL,EDUADULT,TRY,PC_25_64,A,2015,36.857422,
BEL,EDUADULT,TRY,PC_25_64,A,2016,37.503956,
BEL,EDUADULT,TRY,PC_25_64,A,2017,40.257053,
CAN,EDUADULT,TRY,PC_25_64,A,2013,52.971439,
CAN,EDUADULT,TRY,PC_25_64,A,2014,53.61496,
CAN,EDUADULT,TRY,PC_25_64,A,2015,55.17366,
CAN,EDUADULT,TRY,PC_25_64,A,2016,56.265068,
CAN,EDUADULT,TRY,PC_25_64,A,2017,56.71452,
CZE,EDUADULT,TRY,PC_25_64,A,2013,20.45986,
CZE,EDUADULT,TRY,PC_25_64,A,2014,21.51013,
CZE,EDUADULT,TRY,PC_25_64,A,2015,22.186741,
CZE,EDUADULT,TRY,PC_25_64,A,2016,22.971544,
CZE,EDUADULT,TRY,PC_25_64,A,2017,23.927534,
DNK,EDUADULT,TRY,PC_25_64,A,2013,35.42934,
DNK,EDUADULT,TRY,PC_25_64,A,2014,35.800922,
DNK,EDUADULT,TRY,PC_25_64,A,2015,37.095581,
DNK,EDUADULT,TRY,PC_25_64,A,2016,38.169136,
DNK,EDUADULT,TRY,PC_25_64,A,2017,39.232346,
FIN,EDUADULT,TRY,PC_25_64,A,2013,40.545231,
FIN,EDUADULT,TRY,PC_25_64,A,2014,41.776676,
FIN,EDUADULT,TRY,PC_25_64,A,2015,42.742619,
