country,country3,HDIrank,HDIindex,HDI_cat,SPI,happiness,genderequality_index,birth_MF,sixty_MF,GDP_USD_2018,hoursworked,incomeineq,infantmort,oophcspend,tertiaryed
Afghanistan,AFG,168,0.4942397377480059,Low,31.21,4.220168590545654,NA,62.7,16.3,19469022208,NA,NA,NA,NA,NA
Albania,ALB,68,0.7817005590918955,High,70.85,4.511100769042969,0.70364570744710597,76.4,20.8,11883682171,NA,NA,NA,NA,NA
Algeria,DZA,85,0.7524951334256267,High,65.64,5.340853691101074,0.64199608867486202,76.4,21.9,159049e6,NA,NA,NA,NA,NA
American Samoa,ASM,NA,NA,NA,NA,NA,NA,NA,NA,658e6,NA,NA,NA,NA,NA
Andorra,AND,35,0.8558054251149887,Very high,NA,NA,NA,NA,NA,2877311947,NA,NA,NA,NA,NA
Angola,AGO,147,0.5769332632357265,Medium,36.77,NA,0.64324885959232603,62.6,17.3,95337203468,NA,NA,NA,NA,NA
Antigua & Barbuda,ATG,70,0.7777269048757208,High,NA,NA,NA,75,19.7,1460144704,NA,NA,NA,NA,NA
Argentina,ARG,47,0.8217587592988095,Very high,74.48,6.427221298217773,0.73521394147265895,76.9,21.8,554861e6,NA,NA,NA,NA,NA
Armenia,ARM,83,0.7492645868098929,High,69.66,4.325471878051758,0.66926479563378305,74.8,19.6,10546135160,NA,NA,NA,NA,NA
Australia,AUS,3,0.9378680440732646,Very high,87.66,7.250080108642578,0.72136619179736305,82.9,25.6,120804e7,1672.199951,NA,3.1,NA,43.7439
Austria,AUT,20,0.9058221188119048,Very high,86.5,7.04807186126709,0.71583317006450597,81.9,24.4,3908e8,1609.4,0.276,3.1,997.684,31.383963
Azerbaijan,AZE,80,0.7569778767514419,High,NA,5.303894996643066,0.68374691650168495,73.1,18.9,37867518957,NA,NA,NA,NA,NA
Bahamas,BHS,54,0.8063252384321128,Very high,NA,NA,0.72905429884689399,75.7,22.6,118388e5,NA,NA,NA,NA,NA
Bahrain,BHR,43,0.8458039876364273,Very high,NA,6.169673442840576,0.61497375805908305,79.1,21.7,32152686170,NA,NA,NA,NA,NA
Bangladesh,BGD,136,0.5970601916446718,Medium,50.58,4.556140899658203,0.69826002604899196,72.7,19.6,221415e6,NA,NA,NA,NA,NA
Barbados,BRB,58,0.798810072922084,Very high,75.45,NA,0.73875134334000303,75.6,19.8,452905e4,NA,NA,NA,NA,NA
Belarus,BLR,53,0.8049578008644142,Very high,71.02,5.177899360656738,0.73693207530787996,74.2,19.6,47722657821,NA,NA,NA,NA,NA
Belgium,BEL,17,0.9145380307545622,Very high,86.73,6.948936462402344,0.74515045442959604,81.2,24.1,467546e6,1546,0.268,3.2,738.948,37.503956
Belize,BLZ,106,0.708506635576006,High,NA,NA,0.67586410962010501,70.5,17.1,1820158550,NA,NA,NA,NA,NA
Benin,BEN,163,0.5120965226501945,Low,48.01,4.007357597351074,0.63557018575790203,61.1,17.2,8573159697,NA,NA,NA,NA,NA
Bhutan,BTN,134,0.6085177661596782,Medium,64.29,NA,0.641708104826477,70.6,20.7,2212638830,NA,NA,NA,NA,NA
Bolivia,BOL,118,0.6888710189136826,Medium,63.49,5.769723415374756,0.74574681179101199,71.5,21.4,33941126194,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,77,0.7658795769585522,High,NA,5.180865287780762,0.68504590332452198,77.3,20.7,16911088174,NA,NA,NA,NA,NA
Botswana,BWA,101,0.712170623292188,High,61.95,3.498936653137207,0.71499545379808505,66.1,17.4,15648700274,NA,NA,NA,NA,NA
Brazil,BRA,79,0.7581762474291328,High,73.91,6.374817371368408,0.687305173804868,75.1,21.7,179399e7,NA,NA,NA,NA,NA
Brunei,BRN,39,0.8524184233561918,Very high,NA,NA,0.66859378657102297,76.4,20.4,11400653960,NA,NA,NA,NA,NA
Bulgaria,BGR,51,0.8095956041141686,Very high,74.24,4.837560653686523,0.72571083937840197,74.8,19.8,53240893665,NA,NA,NA,NA,NA
Burkina Faso,BFA,183,0.42021153170421266,Low,43.07,4.205634593963623,0.63960518464973004,60.3,15.5,11448781714,NA,NA,NA,NA,NA
Burundi,BDI,185,0.41771547753681665,Low,37.63,NA,0.76752192985735102,60.1,16.6,3007029030,NA,NA,NA,NA,NA
Cambodia,KHM,146,0.5762203625157908,Medium,47.09,4.461259365081787,0.65807201685235395,69.4,17.4,20016747754,NA,NA,NA,NA,NA
Cameroon,CMR,151,0.5529673365211704,Medium,44.5,4.816232204437256,0.68406598010272102,58.1,16.5,32217537943,NA,NA,NA,NA,NA
Canada,CAN,12,0.9222756302756803,Very high,87.65,7.244845867156982,0.73093453173234202,82.8,25.7,153577e7,1706,0.318,NA,690.169,56.265068
Cape Verde,CPV,125,0.6517521126344765,Medium,66.42,NA,0.72917029417645995,73.2,18.6,1638927336,NA,NA,NA,NA,NA
Central African Republic,CAF,188,0.36220136475364745,Low,26.01,2.693061113357544,NA,53,16,1755468137,NA,NA,NA,NA,NA
Chad,TCD,186,0.40530628922982864,Low,26.92,4.029350280761719,0.58669275278511002,54.3,15.9,9412034269,NA,NA,NA,NA,NA
Chile,CHL,44,0.8415329699937913,Very high,80.47,6.579056262969971,0.69940086236961996,79.5,23.4,250036e6,1974,0.454,NA,606.962,NA
China,CHN,86,0.7479097838809821,High,62.67,5.324955940246582,0.67582371110817696,76.4,19.9,11191e9,NA,NA,NA,NA,NA
Colombia,COL,90,0.7466609659990139,High,70.58,6.233715057373047,0.72671188639769302,75.1,21.8,280091e6,NA,NA,NA,NA,22.247128
Comoros,COM,165,0.5023231335017502,Low,52.24,NA,NA,63.9,16.3,616654490.4,NA,NA,NA,NA,NA
Congo - Brazzaville,COG,137,0.6116867735290848,Medium,44.98,4.11949348449707,NA,64.3,17.6,7833508879,NA,NA,NA,NA,NA
Congo - Kinshasa,COD,176,0.4523197633835507,Low,34.97,4.52193546295166,NA,60.5,16.9,34991160100,NA,NA,NA,NA,NA
Costa Rica,CRI,63,0.7909195209615656,High,80.97,7.135617733001709,0.73621863819533395,79.6,24.1,56988989897,2204.65,0.479,NA,272.239,22.998714
Côte d’Ivoire,CIV,NA,NA,NA,45.99,NA,NA,NA,NA,36374849865,NA,NA,NA,NA,NA
Croatia,HRV,46,0.8277577378058478,Very high,78.32,5.41687536239624,0.69988102349380199,78.3,21.5,51338524831,NA,NA,NA,NA,NA
Cuba,CUB,73,0.7741764981005748,High,68.52,NA,0.74002507969381803,79,22.7,NA,NA,NA,NA,NA,NA
Cyprus,CYP,32,0.8670238119155721,Very high,81.85,5.794618606567383,0.68436099110498005,80.7,22.8,20153871681,NA,NA,NA,NA,NA
Czechia,CZE,27,0.8847752951250055,Very high,83.72,6.735627174377441,0.69006122157495897,79.2,22.1,195305e6,1778,0.258,2.8,372.845,22.971544
Denmark,DNK,11,0.9280172267430499,Very high,89.25,7.5577826499938965,0.753507118352294,81.2,23.8,3069e8,1414,0.263,3.1,695.837,38.169136
Djibouti,DJI,172,0.47366231809374193,Low,45.22,NA,NA,63.8,17.6,1764268469,NA,NA,NA,NA,NA
Dominica,DMA,103,0.7183648756954577,High,NA,NA,NA,NA,NA,581484037,NA,NA,NA,NA,NA
Dominican Republic,DOM,94,0.7326077928147052,High,64.92,5.238698482513428,0.67597624860389904,73.5,22,72342967648,NA,NA,NA,NA,NA
Ecuador,ECU,86,0.7493852156543074,High,68.86,6.1154375076293945,0.72619944563179095,76.5,22.8,98613972e3,NA,NA,NA,NA,NA
Egypt,EGY,115,0.6939856334162647,Medium,58.28,4.556740760803223,0.61364816864246496,70.5,16.9,332928e6,NA,NA,NA,NA,NA
El Salvador,SLV,121,0.6789223611795083,Medium,64.94,6.139824867248535,0.701785305361595,73.7,21.9,23912227500,NA,NA,NA,NA,NA
Equatorial Guinea,GNQ,141,0.5924931095035418,Medium,NA,NA,NA,59.5,16.8,11259559879,NA,NA,NA,NA,NA
Eritrea,ERI,179,0.4361570234561582,Low,31.61,NA,NA,65,16.4,NA,NA,NA,NA,NA,NA
Estonia,EST,30,0.8675975481869183,Very high,82.8,5.649675369262695,0.74653968084575495,77.8,22.2,23337907619,1855,0.33,2.3,450.985,38.756851
Ethiopia,ETH,173,0.45669812173396457,Low,38.79,4.297848701477051,0.66209590989129496,65.5,18.1,73000980434,NA,NA,NA,NA,NA
Fiji,FJI,92,0.738394855613946,High,64.41,NA,NA,69.9,17.2,4671313315,NA,NA,NA,NA,NA
Finland,FIN,15,0.9176124305396001,Very high,89.38,7.659843444824219,0.845046747820689,81.4,24.2,238678e6,1635,0.26,1.9,874.51,43.595264
France,FRA,24,0.8992756919459307,Very high,87.74,6.475208759307861,0.75501002486711599,82.9,25.9,246513e7,1502.73,0.295,3.7,465.669,34.582485
Gabon,GAB,110,0.6982772758224051,High,NA,4.831764221191406,NA,66.4,18.3,14014278017,NA,NA,NA,NA,NA
Gambia,GMB,174,0.45723379520664537,Low,44.25,NA,0.66720741172450104,61.9,15.3,962797146.5,NA,NA,NA,NA,NA
Georgia,GEO,70,0.7763982107222726,High,69.05,4.448386192321777,0.68093720080660203,72.6,18.3,14378016732,NA,NA,NA,NA,NA
Germany,DEU,5,0.9341518707655013,Very high,88.69,6.873763084411621,0.765615966510235,81,23.6,34778e8,1363.4,0.293,3.4,676.553,28.291723
Ghana,GHA,140,0.5876416123144391,Medium,58.19,4.514411449432373,0.70531181384812103,63.4,15.7,42803583022,NA,NA,NA,NA,NA
Greece,GRC,31,0.8682721803704931,Very high,82.7,5.302619457244873,0.679542758472099,81.2,23.9,192691e6,2030,0.34,4.2,777.125,30.231607
Greenland,GRL,NA,NA,NA,NA,NA,NA,NA,NA,2705891617,NA,NA,NA,NA,NA
Grenada,GRD,75,0.7696765766271545,High,NA,NA,NA,73.4,19.1,1056188593,NA,NA,NA,NA,NA
Guam,GUM,NA,NA,NA,NA,NA,NA,NA,NA,5793e6,NA,NA,NA,NA,NA
Guatemala,GTM,127,0.6487081717651998,Medium,58.56,6.358916282653809,0.666211203650933,73.2,21.3,68663653469,NA,NA,NA,NA,NA
Guinea,GIN,175,0.4491605523909196,Low,37.56,3.6028547286987305,0.63994818403926801,59.8,15.3,9275886117,NA,NA,NA,NA,NA
Guinea-Bissau,GNB,177,0.4532730301957445,Low,NA,NA,NA,59.8,15.2,1178204501,NA,NA,NA,NA,NA
Guyana,GUY,125,0.6519350356978745,Medium,60.26,NA,NA,66.2,16.8,3504024213,NA,NA,NA,NA,NA
Haiti,HTI,168,0.4955476711972184,Low,NA,3.3523001670837402,NA,63.5,17.7,7970649131,NA,NA,NA,NA,NA
Honduras,HND,133,0.6143757285857856,Medium,57,5.6481547355651855,0.68958689351545999,75.2,22.4,21643936939,NA,NA,NA,NA,NA
Hong Kong SAR China,HKG,7,0.9296395120413741,Very high,NA,5.498420715332031,NA,NA,NA,320881e6,NA,NA,NA,NA,NA
Hungary,HUN,45,0.8351053138480794,Very high,80.09,5.448901653289795,0.66948182907332698,76,20.1,125817e6,1759.4,NA,3.9,584.018,23.713329
Iceland,ISL,6,0.9331301121272382,Very high,89.62,7.510034561157227,0.87367008475846997,82.4,24.7,20304098101,NA,NA,0.7,709.785,40.475002
India,IND,130,0.6360460094561482,Medium,53.87,4.179177284240723,0.68321494623134804,68.8,18,227423e7,NA,NA,NA,NA,NA
Indonesia,IDN,116,0.6913057597481875,Medium,61.59,5.136325359344482,0.68212784549225303,69.3,16.7,932256e6,NA,NA,NA,NA,11.337651
Iran,IRN,60,0.7955311319303151,High,63.06,4.652730941772461,0.58745069556499696,75.7,19.7,418977e6,NA,NA,NA,NA,NA
Iraq,IRQ,120,0.6720803438515256,Medium,NA,4.412537097930908,NA,69.8,18.8,171489e6,NA,NA,NA,NA,NA
Ireland,IRL,4,0.9344754829182338,Very high,88.09,7.040731430053711,0.79746360358752599,81.5,24.1,304819e6,1739,0.297,3,684.251,NA
Israel,ISR,22,0.9017548697653387,Very high,82.04,7.159010887145996,0.71924797665309903,82.3,24.7,317748e6,1889,0.36,3.1,626.043,49.895348
Italy,ITA,28,0.8781295258489776,Very high,84.85,5.954524040222168,0.71855729856536998,82.8,25,185938e7,1724.42,0.333,2.8,792.4,17.723593
Jamaica,JAM,97,0.7315926436068267,High,NA,NA,0.72392649774833795,76,22.5,14056908749,NA,NA,NA,NA,NA
Japan,JPN,19,0.9069283257286355,Very high,88.19,5.95465087890625,0.66019915304142396,84.2,26.4,494927e7,1714,NA,2,NA,50.496956
Jordan,JOR,95,0.7349206701608673,High,69.19,5.271284580230713,0.60313413767272295,74.3,19.3,38654727746,NA,NA,NA,NA,NA
Kazakhstan,KAZ,58,0.7967461959078902,Very high,65.89,5.5335516929626465,0.71795861195847099,71.1,17.7,137278e6,NA,NA,NA,NA,NA
Kenya,KEN,142,0.5845812876109328,Medium,54,4.396127700805664,0.70188746970129301,66.7,18.6,70875289605,NA,NA,NA,NA,NA
Kiribati,KIR,134,0.6101660543405226,Medium,NA,NA,NA,66.1,16.9,181551516.5,NA,NA,NA,NA,NA
Kosovo,XKS,NA,NA,NA,NA,5.7594122886657715,NA,NA,NA,6715486726,NA,NA,NA,NA,NA
Kuwait,KWT,56,0.8035509413833132,Very high,NA,5.947194576263428,0.62404079182417704,74.8,17.9,110912e6,NA,NA,NA,NA,NA
Kyrgyzstan,KGZ,122,0.6688049807386609,Medium,63.24,4.856534004211426,0.686683624931819,71.4,18,6813092066,NA,NA,NA,NA,NA
Laos,LAO,139,0.5977938713656833,Medium,45.94,NA,0.72378301522692501,65.8,16.8,15805707154,NA,NA,NA,NA,NA
Latvia,LVA,41,0.8436965619126446,Very high,78.27,5.940446376800537,0.75466903016281695,75,20.7,27571513793,1902,0.346,3.7,718.674,33.361481
Lebanon,LBN,80,0.7532814265189002,High,66.02,5.270723819732666,0.59758671437746802,76.3,19.8,49598825982,NA,NA,NA,NA,NA
Lesotho,LSO,159,0.5157027371652727,Low,47.84,3.8082048892974854,0.70589729212371499,52.9,15.3,2291319972,NA,NA,NA,NA,NA
Liberia,LBR,181,0.4319399495482801,Low,44.97,3.3546760082244873,0.65184393085225201,62.9,15.8,2101e6,NA,NA,NA,NA,NA
Libya,LBY,108,0.6934677479110143,High,NA,5.4335832595825195,NA,71.9,18.3,32257171354,NA,NA,NA,NA,NA
Liechtenstein,LIE,17,0.9154303330535014,Very high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,LTU,35,0.8548201014312401,Very high,80.94,5.8655524253845215,0.74394158105902197,75,20.7,42773029835,1885,0.372,4.5,644.299,39.732628
Luxembourg,LUX,21,0.9034904711109238,Very high,88.86,6.96734094619751,0.73417938896464796,82.4,24.7,58631324559,1519,0.306,3.8,783.404,42.856003
Macau SAR China,MAC,NA,NA,NA,NA,NA,NA,NA,NA,45310877913,NA,NA,NA,NA,NA
Macedonia,MKD,80,0.7562342460222077,High,66.8,5.345746040344238,0.69620918285026701,75.9,19.5,10745787406,NA,NA,NA,NA,NA
Madagascar,MDG,161,0.5168070378622761,Low,42.2,3.6630859375,0.70427358034153398,66.1,17.1,10001193315,NA,NA,NA,NA,NA
Malawi,MWI,171,0.47395014966097015,Low,47.9,3.4764926433563232,0.69996341305791598,64.2,17.4,5433038647,NA,NA,NA,NA,NA
Malaysia,MYS,57,0.7988258508917251,Very high,71.21,NA,0.66576820935527903,75.3,19.9,296536e6,NA,NA,NA,NA,NA
Maldives,MDV,101,0.7124174664008122,High,NA,NA,0.64959411744311601,78.4,21,4222767413,NA,NA,NA,NA,NA
Mali,MLI,182,0.420896861219084,Low,44.69,4.016027927398682,0.59051650007053202,58,15.4,14034980334,NA,NA,NA,NA,NA
Malta,MLT,29,0.8753871392370755,Very high,NA,6.590842247009277,0.66429288394600206,81.5,23.9,11279535398,NA,NA,NA,NA,NA
Marshall Islands,MHL,106,NA,High,NA,NA,NA,NA,NA,194497900,NA,NA,NA,NA,NA
Mauritania,MRT,159,0.5164198020949057,Low,41.84,4.47214937210083,0.62377822489111701,63.9,16.5,4739298311,NA,NA,NA,NA,NA
Mauritius,MUS,65,0.7876342090264797,High,73.79,5.610003471374512,0.65197417068303998,74.8,20.7,12232463656,NA,NA,NA,NA,NA
Mexico,MEX,74,0.7722166211317996,High,68.65,6.8241729736328125,0.69998887144719302,76.6,22.3,107691e7,2254.6,NA,12.1,411.979,16.818605
Micronesia (Federated States of),FSM,131,0.6267320038986718,Medium,NA,NA,NA,69.6,17.3,329895600,NA,NA,NA,NA,NA
Moldova,MDA,112,0.6966662491101508,High,67.1,5.577784061431885,0.741327817844598,71.5,17.6,6795741776,NA,NA,NA,NA,NA
Mongolia,MNG,92,0.7425751505305956,High,64.18,5.056999683380127,0.70540931150061104,69.8,17.3,11183458131,NA,NA,NA,NA,NA
Montenegro,MNE,50,0.8103067460337161,Very high,71.42,5.304066181182861,0.681293860394516,76.8,20.2,4374130531,NA,NA,NA,NA,NA
Morocco,MAR,123,0.6623283972834622,Medium,64.23,5.386307239532471,0.59658403522300696,76,20.5,103606e6,NA,NA,NA,NA,NA
