country,country3,US,color,happiness,GDP_USD_2018,HDIrank,HDIindex,HDI_cat,SPI,genderequality_index,infantmort,birth_MF,sixty_MF,logGDP
Albania,ALB,Non US,#545454,4.511100769042969,11883682171,68,0.7817005590918955,High,70.85,0.703645707447106,0.0081,76.4,20.8,23.198432049911116
Algeria,DZA,Non US,#545454,5.340853691101074,159049e6,85,0.7524951334256267,High,65.64,0.641996088674862,0.021,76.4,21.9,25.792478167790772
Argentina,ARG,Non US,#545454,6.427221298217773,554861e6,47,0.8217587592988095,Very High,74.48,0.735213941472659,0.009699999999999999,76.9,21.8,27.041983468874445
Armenia,ARM,Non US,#545454,4.325471878051758,10546135160,83,0.7492645868098929,High,69.66,0.669264795633783,0.0119,74.8,19.6,23.079025294206204
Australia,AUS,Non US,#545454,7.250080108642578,120804e7,3,0.9378680440732646,Very High,87.66,0.721366191797363,0.0031,82.9,25.6,27.820020327475742
Austria,AUT,Non US,#545454,7.04807186126709,3908e8,20,0.9058221188119048,Very High,86.5,0.715833170064506,0.003,81.9,24.4,26.69146175711504
Bangladesh,BGD,Non US,#545454,4.556140899658203,221415e6,136,0.5970601916446718,Medium,50.58,0.698260026048992,0.028300000000000002,72.7,19.6,26.12330460560348
Belarus,BLR,Non US,#545454,5.177899360656738,47722657821,53,0.8049578008644142,Very High,71.02,0.73693207530788,0.0029,74.2,19.6,24.588672128790282
Belgium,BEL,Non US,#545454,6.948936462402344,467546e6,17,0.9145380307545622,Very High,86.73,0.745150454429596,0.0031,81.2,24.1,26.870763576556538
Benin,BEN,Non US,#545454,4.007357597351074,8573159697,163,0.5120965226501945,Low,48.01,0.635570185757902,0.06509999999999999,61.1,17.2,22.871902194371085
Bolivia,BOL,Non US,#545454,5.769723415374756,33941126194,118,0.6888710189136826,Medium,63.49,0.745746811791012,0.029,71.5,21.4,24.247893278111235
Botswana,BWA,Non US,#545454,3.498936653137207,15648700274,101,0.712170623292188,High,61.95,0.714995453798085,0.032299999999999995,66.1,17.4,23.473653700899103
Brazil,BRA,Non US,#545454,6.374817371368408,179399e7,79,0.7581762474291328,High,73.91,0.687305173804868,0.0146,75.1,21.7,28.215463305413607
Bulgaria,BGR,Non US,#545454,4.837560653686523,53240893665,51,0.8095956041141686,Very High,74.24,0.725710839378402,0.0067,74.8,19.8,24.698092615925983
Burkina Faso,BFA,Non US,#545454,4.205634593963623,11448781714,183,0.42021153170421266,Low,43.07,0.63960518464973,0.0526,60.3,15.5,23.161149160761706
Cambodia,KHM,Non US,#545454,4.461259365081787,20016747754,146,0.5762203625157908,Medium,47.09,0.658072016852354,0.0263,69.4,17.4,23.71983514778693
